N,P,K,temperature,humidity,ph,rainfall,label
109,58,118,13.53,96.89,7.58,237.47,jute
79,106,188,32.09,90.06,7.46,191.8,jute
12,125,204,38.32,94.23,8.63,49.14,jute
40,124,18,19.27,34.66,3.91,194.75,jute
120,58,183,18.67,74.09,7.21,119.08,jute
55,108,53,22.92,53.3,5.97,90.65,jute
1,51,34,29.23,72.09,4.24,237.66,jute
9,130,192,39.42,87.0,6.12,182.73,jute
74,124,142,29.99,49.62,6.73,96.81,jute
11,135,176,41.94,48.79,6.69,231.27,jute
135,53,130,29.36,32.8,6.96,221.54,jute
98,30,195,22.95,86.56,3.62,43.57,jute
102,7,119,25.64,84.63,9.02,198.96,jute
21,113,187,37.86,71.35,4.08,113.79,jute
17,103,16,14.62,66.9,7.72,171.38,jute
113,133,115,18.27,54.72,8.13,127.16,jute
10,135,167,20.13,53.56,5.8,70.21,jute
134,62,80,40.24,99.66,9.32,151.08,jute
55,63,136,36.14,35.4,6.24,229.93,jute
87,48,100,29.69,98.49,8.12,27.4,jute
30,122,145,36.31,49.11,7.73,76.09,jute
78,130,120,14.4,64.01,3.61,38.16,jute
129,105,73,37.85,32.48,7.52,143.81,jute
92,5,57,37.55,62.45,3.82,254.1,jute
95,45,8,43.94,42.22,4.6,51.81,jute
121,131,91,16.8,83.07,9.44,179.35,jute
93,9,186,35.61,95.95,5.52,29.42,jute
71,70,27,40.37,88.97,6.63,161.53,jute
22,106,83,20.72,33.82,8.16,96.32,jute
69,76,43,18.49,47.9,8.75,190.14,jute
62,16,197,16.18,37.0,8.74,150.48,jute
43,63,61,20.17,68.8,4.61,121.52,jute
87,88,89,18.33,19.73,4.92,71.78,jute
4,96,30,17.21,30.7,6.09,249.17,jute
80,76,173,23.89,97.11,9.07,214.46,jute
27,93,146,17.94,38.62,7.47,118.74,jute
58,26,53,25.34,64.35,7.64,72.05,jute
115,139,106,26.65,20.01,7.95,112.36,jute
8,45,178,14.82,35.27,8.33,274.12,jute
5,44,29,44.49,85.44,5.14,124.65,jute
21,122,121,11.89,35.06,8.99,256.18,jute
120,94,55,14.97,75.9,5.94,165.81,jute
64,96,129,17.27,66.08,7.39,76.28,jute
69,21,75,23.34,55.84,5.47,112.95,jute
71,120,43,34.93,15.25,5.21,235.72,jute
126,94,162,26.63,25.57,4.63,66.51,jute
24,73,27,30.53,34.34,7.15,79.22,jute
44,62,144,15.96,74.56,7.19,206.35,jute
67,97,197,39.95,83.27,8.45,129.81,jute
31,18,166,17.37,65.61,9.76,115.36,jute
15,109,152,25.58,85.74,6.91,160.14,jute
116,138,174,19.42,39.19,6.59,162.09,jute
6,125,52,14.13,25.3,9.68,83.06,jute
27,89,118,31.08,35.47,8.64,281.28,jute
77,19,40,14.69,48.98,8.36,252.04,jute
41,116,119,44.57,59.05,7.19,213.61,jute
7,124,65,20.13,74.77,5.44,90.19,jute
111,59,7,36.57,66.39,9.37,265.62,jute
132,69,128,34.54,73.74,7.89,252.25,jute
43,57,176,30.88,38.89,6.45,69.74,jute
67,86,43,30.65,38.39,4.14,68.39,jute
79,106,47,29.45,14.07,5.32,296.7,jute
2,92,129,39.34,83.36,5.43,44.39,jute
63,19,201,42.03,35.49,9.82,42.5,jute
24,136,104,21.1,50.49,3.91,163.88,jute
91,94,84,37.71,95.98,6.72,172.5,jute
24,77,40,13.06,72.94,3.97,233.89,jute
94,83,170,30.56,19.88,6.56,262.87,jute
23,70,87,30.84,46.73,8.5,277.72,jute
44,68,104,38.44,56.84,3.56,214.59,jute
98,129,42,42.03,18.58,4.88,184.52,jute
131,142,178,40.71,57.16,8.76,23.63,jute
6,72,76,13.15,71.56,7.06,250.54,jute
138,19,23,35.2,29.82,8.39,32.58,jute
3,73,159,35.63,19.81,8.84,273.87,jute
4,106,180,36.95,74.07,9.06,203.35,jute
82,114,155,17.49,98.5,5.14,121.57,jute
60,41,181,10.63,62.76,8.18,185.56,jute
52,13,86,14.4,15.12,8.95,288.05,jute
62,5,42,17.09,84.68,4.91,216.6,jute
15,53,142,42.91,15.72,9.5,88.0,jute
109,15,12,43.29,20.54,6.89,143.43,jute
86,83,40,23.81,66.58,6.17,106.62,jute
24,104,128,33.69,94.64,7.19,92.61,jute
96,52,144,39.31,85.74,5.65,263.08,jute
36,22,190,31.53,63.6,3.6,136.93,jute
31,52,102,15.39,55.22,4.98,288.14,jute
69,37,41,32.65,28.53,6.43,198.21,jute
77,81,192,44.82,16.94,6.26,135.06,jute
42,75,185,26.48,64.18,6.84,131.16,jute
80,54,72,14.02,61.46,4.39,253.18,jute
24,113,102,20.95,14.15,6.14,145.05,jute
30,115,121,11.45,70.78,8.46,59.32,jute
41,9,123,37.92,81.87,7.32,105.67,jute
25,73,26,34.18,18.55,6.4,47.71,coffee
57,70,154,13.48,71.64,5.3,196.05,coffee
119,42,16,20.51,50.92,8.77,116.14,coffee
98,52,22,30.69,45.81,3.74,58.27,coffee
109,61,48,41.64,30.98,9.41,123.9,coffee
104,54,177,10.66,37.61,7.1,272.83,coffee
16,144,165,12.54,31.16,4.86,95.99,coffee
120,109,169,10.3,97.05,8.96,186.83,coffee
97,40,145,13.57,54.08,8.06,188.69,coffee
14,97,46,30.19,46.18,8.16,298.83,coffee
30,142,109,37.18,88.77,9.63,294.75,coffee
31,63,126,28.91,69.53,6.74,202.79,coffee
77,41,20,26.02,80.67,8.63,189.84,coffee
95,107,128,15.47,93.34,3.71,239.99,coffee
104,29,166,38.02,68.8,7.54,70.32,coffee
106,24,180,42.33,73.37,4.57,191.38,coffee
30,69,58,33.5,26.32,5.41,237.43,coffee
64,49,47,23.04,55.43,7.91,85.19,coffee
75,58,188,32.42,65.92,3.74,260.43,coffee
72,22,18,19.01,21.78,8.72,203.74,coffee
99,52,161,20.56,99.86,6.81,192.2,coffee
124,42,38,33.13,98.7,6.44,212.69,coffee
122,9,110,20.21,59.72,3.96,132.38,coffee
92,112,147,23.76,72.39,5.66,287.89,coffee
69,63,99,17.8,89.25,8.3,250.79,coffee
55,29,179,39.78,61.87,7.72,165.59,coffee
108,48,59,42.32,15.84,6.96,36.35,coffee
36,142,51,26.25,68.25,9.68,164.6,coffee
3,9,5,34.46,84.93,4.29,82.65,coffee
89,87,26,23.8,19.04,9.08,183.52,coffee
68,84,64,23.07,82.7,8.02,160.71,coffee
43,97,190,35.39,82.65,9.71,285.29,coffee
36,34,14,42.37,83.43,4.05,144.46,coffee
64,70,108,23.87,30.87,6.27,148.62,coffee
14,57,163,31.13,80.42,8.39,102.66,coffee
30,142,83,26.93,77.51,6.48,131.52,coffee
33,48,120,28.83,76.54,3.75,194.63,coffee
88,61,102,11.52,46.93,8.16,285.72,coffee
103,53,79,44.04,63.0,6.36,22.23,coffee
38,63,84,44.24,29.94,7.51,180.26,coffee
86,50,108,35.29,16.1,8.4,160.17,coffee
122,86,90,43.42,23.58,6.75,44.16,coffee
135,51,107,14.6,83.36,7.92,267.85,coffee
112,131,158,18.49,17.87,5.32,85.35,coffee
135,32,147,28.8,14.79,7.56,141.94,coffee
104,60,146,22.43,35.57,4.53,231.99,coffee
94,127,36,37.28,99.5,6.04,49.07,coffee
29,63,107,32.21,81.86,8.34,234.81,coffee
59,84,82,21.95,45.0,8.18,86.95,coffee
24,52,79,27.01,70.75,9.0,41.84,coffee
34,84,82,24.95,60.53,8.3,22.85,coffee
7,116,148,32.98,67.72,5.41,204.02,coffee
118,34,111,22.43,85.54,4.03,85.56,coffee
57,23,58,42.55,37.69,8.8,151.31,coffee
73,72,197,24.22,31.01,7.76,185.19,coffee
31,111,13,43.05,58.09,9.5,288.91,coffee
9,6,68,18.67,19.77,7.95,126.34,coffee
64,45,91,22.93,44.53,7.34,296.97,coffee
131,116,143,26.0,17.99,8.6,273.4,coffee
55,72,61,17.94,99.47,6.17,260.56,coffee
38,73,68,18.5,44.24,5.87,295.92,coffee
100,39,198,17.99,65.92,8.96,165.45,coffee
86,64,91,18.48,19.03,6.6,33.55,coffee
123,117,99,31.41,23.21,5.67,220.23,coffee
79,141,168,23.79,42.1,8.86,36.25,coffee
82,51,100,28.74,88.6,8.18,85.69,coffee
17,26,51,31.8,92.54,5.92,265.23,coffee
36,119,80,34.57,75.33,6.52,28.23,coffee
55,28,148,30.2,44.69,9.32,202.94,coffee
49,20,150,14.45,53.46,8.84,211.78,coffee
82,143,53,25.88,23.5,8.29,129.23,coffee
82,99,109,38.81,40.1,7.21,226.62,coffee
78,39,145,22.86,17.54,5.46,164.65,coffee
87,125,161,26.89,91.95,6.64,239.1,coffee
74,71,96,40.33,91.3,4.38,261.26,coffee
61,130,60,32.7,48.96,4.8,170.93,coffee
44,91,21,10.7,26.94,6.4,126.2,coffee
126,114,137,19.41,52.66,6.16,91.29,coffee
33,71,37,10.61,73.76,5.03,38.58,coffee
13,70,44,15.54,78.78,5.59,188.32,coffee
138,92,145,44.23,49.42,5.13,221.61,coffee
6,66,203,23.65,64.19,6.3,239.5,coffee
63,54,137,27.4,15.44,7.44,224.49,coffee
96,8,166,23.22,29.06,7.74,235.31,coffee
106,35,166,42.11,73.84,9.23,76.35,coffee
17,72,198,15.1,62.04,8.3,285.26,coffee
111,23,125,13.14,21.49,4.48,116.4,coffee
41,77,74,41.6,92.92,4.31,189.64,coffee
37,129,70,23.67,91.89,9.53,127.87,coffee
43,89,142,14.93,36.85,9.29,213.12,coffee
60,48,82,30.09,44.49,5.33,120.42,coffee
0,105,160,34.38,93.29,9.81,171.5,coffee
92,57,131,17.99,21.38,8.38,113.28,coffee
65,85,140,39.15,98.97,5.68,51.8,coffee
82,30,84,34.39,45.14,8.16,98.37,coffee
41,103,203,39.6,26.1,9.72,284.27,coffee
2,93,73,29.72,63.0,6.15,250.41,coffee
88,31,43,43.03,24.66,9.04,181.07,coffee
86,135,45,31.06,78.1,6.84,99.71,coffee
127,27,124,26.63,82.88,9.82,276.89,coffee
